accX,accY,accZ
-4.392,-18.667,-5.961
-6.118,-19.608,-6.588
-11.922,-20.549,-9.412
-14.118,-21.02,-10.824
-15.843,-21.804,-14.118
-15.216,-22.275,-15.529
-13.804,-21.176,-18.196
-14.588,-18.039,-20.863
-16,-14.902,-22.745
-20.392,-8,-25.725
-23.373,-4.863,-24.784
-30.588,-1.255,-21.02
-32.941,-0.157,-20.706
-30.118,-1.098,-19.294
-20.863,-5.176,-20.078
-17.882,-4.706,-18.667
-10.51,-5.961,-19.137
1.412,-11.137,-12.706
48.314,-27.294,6.431
49.412,-28.706,3.451
-19.294,-20.235,-4.863
-29.49,-13.176,-3.765
-2.667,-14.588,2.667
-9.098,-10.353,-6.431
-10.667,-4.392,-5.961
-11.608,-2.824,-6.902
-6.431,-7.216,-7.373
-0.157,-12.706,-2.353
-1.882,-12.706,-2.039
-0.784,-10.196,-5.02
0,-10.51,-4.863
-0.157,-10.353,-4.706
-0.314,-9.255,-3.765
-0.314,-8.941,-3.137
-0.784,-8.784,-2.353
-0.784,-8.941,-3.451
-2.824,-10.039,-2.98
-2.98,-9.725,-4.392
-0.314,-10.039,-3.451
0.941,-9.412,-3.294
0.471,-9.255,-3.294
0.471,-10.51,-2.353
0.471,-10.039,-2.98
-0.157,-9.098,-3.451
-0.471,-9.412,-2.667
-0.627,-9.098,-4.078
-0.941,-9.412,-3.922
-1.412,-9.255,-3.765
0.157,-9.255,-3.608
-0.157,-8.941,-3.922
-0.627,-9.255,-3.608
0.157,-9.569,-3.451
0.627,-9.569,-4.235
0.157,-9.255,-4.392
0.157,-9.882,-2.98
-0.157,-9.255,-4.549
-0.627,-9.255,-4.235
-1.255,-9.255,-3.608
-0.627,-9.725,-3.137
-0.784,-9.412,-4.235
-1.412,-9.412,-4.235
-1.255,-9.882,-3.137
-0.784,-9.725,-3.294
-1.882,-9.255,-3.294
-1.412,-9.569,-2.353
-0.941,-9.255,-2.353
-1.569,-8.941,-2.824
-1.412,-9.255,-2.196
-0.157,-9.725,-2.824
-0.157,-9.725,-2.824
-0.471,-10.51,-3.137
-0.314,-10.98,-3.765
-0.784,-10.98,-4.392
-1.569,-11.608,-4.235
-1.569,-11.451,-3.608
-1.725,-10.98,-3.294
-2.353,-11.137,-2.98
-2.353,-12.235,-2.196
-2.353,-12.706,-2.353
-3.451,-13.176,-2.824
-2.824,-14.275,-1.569
-2.51,-14.431,-2.039
-2.196,-15.686,0
-1.255,-16.627,0.941
-0.314,-18.667,1.725
0.627,-20.078,2.353
3.137,-20.235,0.784
3.294,-20.863,2.353
4.235,-20.549,0.784
3.294,-19.294,-2.98
2.039,-18.824,-4.078
1.725,-19.922,-4.078
2.51,-19.922,-4.863
4.078,-18.667,-5.176
4.392,-18.039,-5.02
4.392,-17.412,-4.863
-0.314,-14.431,-8.627
-1.725,-13.961,-9.569
-0.471,-11.922,-7.686
-1.255,-8.627,-8
-2.98,-7.843,-7.373
-0.314,-8.941,-3.922
7.686,-9.412,-1.255
9.882,-5.49,0.314
9.725,-4.235,0.784
6.431,-3.137,0.627
4.863,-2.824,0.471
3.608,-2.196,0.627
4.078,-2.51,0.784
3.922,-3.765,0.784
3.137,-4.392,0.627
2.824,-4.706,0.627
2.039,-5.02,0.627
1.882,-5.333,0.471
1.725,-6.275,0.157
2.196,-6.588,0
2.353,-7.216,-0.314
2.039,-8,-0.784
1.569,-9.255,-1.882
0.784,-10.51,-2.824
0.784,-11.137,-3.137
0.157,-12.549,-3.922
-0.314,-13.49,-4.235
-1.098,-15.373,-5.49
-1.412,-16.314,-6.118
-2.196,-17.725,-7.686
-2.98,-18.667,-8.314
-6.275,-20.392,-10.196
-13.49,-21.804,-11.922
-16.314,-21.961,-13.176
-18.196,-22.431,-14.745
-18.039,-22.431,-15.373
-17.882,-20.549,-15.529
-17.412,-19.294,-15.686
-17.098,-14.902,-18.51
-19.451,-8.314,-22.588
-22.431,-4.863,-23.216
-28.863,0,-21.647
-30.275,0.627,-19.451
-28.863,-3.765,-14.431
-25.255,-6.745,-12.863
-16,-10.196,-12.078
-16,-9.255,-12.863
-14.431,-7.059,-10.353
23.059,-20.078,2.98
49.412,-26.039,9.098
21.49,-24.314,-1.569
-17.412,-20.706,-3.608
-21.961,-12.863,-0.784
-7.373,-14.588,1.882
-15.529,-12.706,1.725
-14.118,-4.863,-0.784
-1.412,-3.137,-8.941
-1.725,-7.216,-8.627
-0.941,-9.882,-8
-2.667,-14.275,-3.608
-2.51,-13.333,-3.765
-1.255,-10.353,-5.02
-0.314,-10.353,-3.922
0.627,-10.039,-3.137
0.784,-8.784,-3.294
-0.941,-8.471,-2.824
-1.725,-8.157,-3.451
-2.196,-8.941,-2.353
-1.725,-10.039,-4.078
-0.471,-10.51,-3.922
1.882,-10.353,-3.294
2.353,-9.725,-3.922
1.569,-10.039,-2.196
0.314,-9.255,-3.294
0,-8.784,-2.98
-1.098,-8.471,-2.667
-0.314,-8.941,-2.824
0.314,-9.412,-3.451
0.314,-9.255,-3.765
0.314,-9.255,-3.294
0.941,-9.098,-3.608
0.157,-8.627,-4.235
0.157,-9.255,-3.294
0.627,-9.412,-3.451
0.157,-8.941,-4.078
0,-8.784,-4.235
0.784,-9.255,-4.078
0.471,-9.098,-4.706
0,-8.941,-4.706
-0.157,-9.882,-3.137
-0.471,-10.196,-2.98
-1.569,-9.882,-3.451
-2.039,-10.196,-2.98
-1.098,-9.882,-2.98
-1.725,-9.725,-3.294
-2.353,-10.196,-2.824
-1.569,-10.039,-2.98
-1.569,-10.039,-3.137
-1.882,-10.039,-2.667
-0.784,-10.353,-1.725
-0.471,-10.51,-2.824
-0.471,-10.824,-2.98
-0.157,-11.765,-3.137
0,-11.922,-3.451
-0.627,-11.451,-4.235
-1.412,-11.922,-3.137
-1.569,-12.078,-2.98
-2.667,-12.392,-3.294
-2.824,-13.176,-2.824
-1.569,-14.118,-2.98
-1.569,-13.961,-3.451
-1.725,-15.216,-1.882
0,-17.098,-0.157
0.157,-17.255,-0.627
0.314,-19.765,1.098
2.353,-19.922,1.098
2.824,-19.294,1.098
4.549,-20.078,2.51
5.804,-20.235,-0.314
4.549,-20.078,-1.725
2.039,-20.549,-2.353
3.451,-20.078,-6.431
6.902,-19.765,-7.686
8.314,-19.294,-5.333
6.118,-18.196,-4.078
3.608,-15.843,-4.392
1.098,-14.902,-6.588
-3.922,-13.49,-6.902
-3.294,-12.863,-8.314
-1.412,-6.275,-8.627
0.157,-7.843,-6.588
2.196,-9.412,-3.608
9.569,-9.255,-0.941
10.824,-7.216,0.314
9.412,-4.549,1.412
7.373,-4.235,1.412
4.392,-3.608,0.941
2.98,-2.51,0.627
2.824,-2.824,0.627
2.353,-3.765,0.784
2.039,-4.549,0.784
1.725,-5.176,1.098
2.039,-5.176,1.098
1.725,-5.804,0.784
1.412,-5.961,1.098
1.412,-6.431,0.314
1.255,-7.059,-0.314
1.412,-7.529,-0.627
1.098,-8.941,-1.412
0.941,-9.882,-2.196
0.627,-10.667,-2.824
0.471,-11.294,-3.294
-0.157,-13.176,-3.922
-0.941,-15.216,-5.176
-1.098,-16.314,-5.804
-1.412,-18.353,-6.588
-1.725,-19.137,-7.686
-4.392,-21.49,-9.412
-7.373,-22.275,-10.51
-14.902,-23.373,-13.02
-16.784,-24,-14.275
-18.196,-24.314,-16
-18.353,-21.961,-17.098
-17.882,-20.235,-18.039
-17.412,-14.275,-21.02
-18.98,-10.51,-23.843
-24.627,-2.98,-25.412
-29.02,-0.157,-24.314
-34.824,1.882,-19.765
-31.373,-3.137,-15.216
-26.51,-5.647,-13.961
-16.314,-10.353,-13.961
-17.412,-7.373,-14.588
3.451,-13.176,-4.235
26.824,-20.706,3.294
64.471,-28.235,5.961
20.392,-24.157,-4.706
-44.392,-13.176,-6.118
-2.98,-15.686,0.784
-7.686,-19.608,1.725
-13.49,-4.863,-1.098
-3.765,-0.627,-11.922
-3.608,-4.549,-11.137
-0.314,-8.157,-7.059
-1.882,-12.706,-4.235
-2.98,-10.353,-4.863
-3.137,-9.882,-5.804
-0.314,-11.765,-3.922
0.941,-11.765,-3.608
0.314,-8.627,-3.451
0.157,-8,-2.039
-0.627,-8.157,-3.137
-2.353,-8.471,-3.137
-3.608,-9.569,-3.451
-0.627,-11.137,-3.137
1.098,-11.137,-2.98
1.569,-10.51,-2.51
2.196,-10.51,-2.667
0.471,-9.725,-3.765
0,-9.098,-3.765
-0.784,-8,-3.294
-0.157,-8.784,-4.078
-0.157,-8.941,-4.706
0.314,-9.569,-4.235
0,-9.098,-4.706
0,-8.627,-4.863
-0.471,-8.471,-4.549
0.941,-9.255,-3.922
0.471,-8.941,-4.549
0.784,-9.255,-4.078
1.255,-9.098,-4.235
1.098,-9.098,-4.392
0,-9.098,-4.078
-0.471,-8.941,-3.765
0.157,-9.569,-3.451
-0.314,-9.098,-4.078
-1.255,-9.255,-3.294
-0.784,-8.941,-3.765
-1.255,-8.471,-4.078
-1.412,-9.098,-3.137
-0.941,-9.255,-2.98
-1.569,-8.941,-4.235
-2.353,-8.941,-4.078
-1.569,-10.039,-2.98
-1.098,-9.882,-2.98
-1.882,-9.569,-2.98
-0.314,-10.667,-1.725
0.157,-11.137,-2.353
-0.314,-11.765,-3.608
-0.627,-11.765,-3.922
-0.941,-11.608,-3.451
-1.412,-11.294,-3.608
-2.824,-12.235,-2.824
-2.667,-13.02,-2.51
-2.196,-13.804,-2.824
-2.824,-15.216,-2.667
-1.882,-15.843,-1.882
-2.196,-17.098,-1.412
-1.882,-18.353,-0.314
-2.51,-20.706,1.882
0,-21.49,2.667
-0.314,-20.392,1.255
3.765,-21.804,5.176
5.333,-20.863,3.765
3.922,-18.667,-0.784
3.137,-18.039,-2.353
2.353,-18.039,-4.235
1.725,-18.51,-5.02
2.98,-19.294,-6.902
2.353,-19.922,-5.804
2.353,-18.98,-7.216
2.51,-17.412,-9.255
0,-16,-9.412
2.196,-11.765,-9.098
2.353,-8.784,-9.098
-1.725,-6.118,-10.667
-1.725,-6.588,-8.157
5.176,-8.157,-4.235
9.255,-5.647,-1.569
9.098,-4.392,-0.157
6.902,-3.922,0.784
5.333,-3.294,0.784
3.451,-2.196,0.941
3.451,-1.725,0.941
4.235,-2.196,0.784
3.922,-2.98,0.784
3.137,-3.765,0.784
2.98,-4.392,0.784
2.667,-4.863,0.784
2.353,-5.647,0.471
2.353,-5.647,0.471
2.196,-6.431,-0.157
2.196,-6.588,-0.627
2.196,-7.686,-1.098
1.569,-9.098,-2.353
1.098,-9.725,-2.667
-0.627,-10.196,-4.706
-1.098,-10.824,-5.02
0.157,-14.275,-5.02
0,-15.529,-5.02
-0.627,-17.255,-5.804
-1.569,-17.725,-6.745
-3.765,-19.922,-7.686
-8.157,-20.863,-10.353
-10.667,-21.02,-11.137
-15.529,-21.647,-12.863
-16.941,-22.118,-13.176
-18.667,-21.333,-14.275
-19.137,-20.549,-15.059
-18.824,-18.98,-16.314
-17.882,-15.373,-19.451
-18.98,-12.078,-21.333
-23.843,-5.49,-24
-28.078,-3.137,-23.686
-34.98,0.784,-19.608
-35.451,0.471,-16.784
-27.451,-7.843,-13.804
-24.314,-8.157,-14.902
-19.765,-5.49,-15.529
19.294,-21.176,1.569
49.882,-27.294,5.333
27.294,-24,-5.804
-14.902,-18.824,-5.804
-19.294,-9.882,-2.667
-0.157,-15.059,2.667
-12.549,-17.569,1.098
-13.49,-3.765,-2.039
-1.725,-3.922,-2.039
-0.784,-5.647,-10.667
-3.608,-7.216,-9.255
-2.51,-13.333,-6.588
-0.784,-13.49,-6.118
-0.471,-10.353,-5.804
0.784,-10.196,-5.647
-0.157,-10.667,-3.137
0.471,-8.157,-3.608
0.157,-7.529,-4.392
-0.314,-8.784,-3.451
0.314,-9.412,-3.451
0,-9.569,-3.294
-0.471,-10.196,-2.824
1.255,-10.667,-2.824
1.725,-10.039,-2.824
1.412,-9.725,-2.98
1.255,-9.725,-2.98
1.098,-9.098,-4.078
0.471,-8.157,-3.765
-0.157,-8.157,-4.078
0.627,-9.098,-4.235
0.314,-8.784,-4.392
0.627,-8.627,-4.235
0.627,-8.784,-3.765
0.314,-8.471,-4.078
0,-9.098,-3.608
0.157,-9.569,-3.137
0,-9.098,-3.922
-0.157,-8.941,-3.922
-1.255,-9.098,-3.608
0,-9.412,-4.078
-0.471,-8.471,-5.02
-0.941,-9.725,-2.824
-0.784,-10.039,-2.98
-0.627,-9.725,-3.294
-0.941,-9.569,-3.608
-0.157,-9.725,-2.51
-0.471,-9.725,-2.353
-1.569,-9.412,-2.98
-1.569,-10.196,-1.412
-0.314,-10.196,-2.039
-0.941,-10.353,-2.824
-0.784,-11.137,-2.353
0,-12.078,-2.98
0.314,-12.235,-3.765
-0.314,-12.392,-3.608
0,-12.235,-3.137
-0.941,-11.922,-3.137
-1.255,-13.02,-2.51
-0.941,-13.804,-2.039
-0.941,-14.902,-2.98
-1.412,-15.059,-3.451
-1.098,-16.157,-2.353
-0.471,-16.627,-2.196
-0.314,-18.039,-0.784
-0.314,-20.235,0.941
0.784,-21.176,2.353
1.255,-20.235,0.784
1.725,-20.235,2.667
4.078,-20.392,2.824
4.392,-19.137,-0.157
3.137,-17.725,-4.235
3.137,-18.98,-4.549
5.804,-20.392,-6.588
7.059,-20.706,-5.02
3.922,-20.078,-3.922
1.725,-16.314,-5.333
2.667,-15.686,-8.157
-1.725,-14.275,-6.902
-1.882,-13.647,-5.961
2.353,-6.902,-9.569
2.98,-7.216,-10.667
0.157,-8.314,-8.627
7.843,-9.412,-3.765
9.882,-7.843,-2.51
9.412,-4.235,0
8.157,-3.294,0.627
4.392,-2.51,0.784
2.353,-1.725,0.941
1.255,-0.627,0.157
1.725,-0.941,0.314
1.882,-1.569,0
2.353,-2.824,0.157
2.824,-2.824,0.471
2.667,-3.451,0.471
2.353,-3.608,0.627
1.098,-4.549,0.471
1.098,-5.49,0
0.627,-5.804,-0.314
1.725,-6.588,-0.941
1.725,-7.686,-1.569
1.569,-9.412,-2.353
1.255,-10.039,-3.137
0.471,-11.294,-4.392
0.157,-11.922,-4.863
-0.941,-13.49,-6.118
-1.725,-15.843,-6.902
-2.667,-17.255,-7.059
-6.588,-19.137,-8.941
-9.098,-19.922,-10.667
-13.647,-20.235,-12.392
-15.529,-20.392,-13.647
-17.098,-21.02,-14.745
-16.941,-20.392,-15.843
-16.157,-19.137,-16.471
-15.843,-17.098,-16.314
-16.471,-15.059,-16.784
-18.824,-10.196,-19.765
-21.02,-7.843,-21.49
-26.353,-3.137,-21.961
-28.078,-1.098,-20.392
-29.647,-1.412,-15.843
-25.098,-7.843,-13.49
-22.431,-6.588,-11.922
-17.255,-7.216,-10.51
0.941,-15.373,-0.941
51.294,-25.255,4.706
52.706,-26.039,3.608
-19.137,-16.941,-4.549
-33.882,-10.98,-5.333
-0.941,-14.902,2.98
-12.549,-13.961,1.098
-10.667,-6.118,-2.353
-1.098,-3.451,-9.098
-2.667,-5.176,-11.922
-0.314,-10.51,-6.588
-1.569,-12.549,-5.176
-2.353,-11.294,-3.922
-1.255,-9.412,-5.02
0,-9.725,-4.392
0.941,-10.196,-3.608
1.412,-9.098,-3.922
-0.314,-8.941,-2.51
-1.255,-8.784,-3.451
-1.882,-9.725,-2.51
-1.882,-9.725,-4.078
-1.569,-10.353,-3.451
0.627,-10.196,-3.137
1.098,-9.725,-3.608
0.157,-9.569,-3.765
-0.157,-9.725,-3.608
0.314,-9.098,-4.235
-0.314,-8.784,-3.451
-0.784,-8.471,-3.608
-0.157,-8.941,-3.137
0,-9.412,-3.765
-0.471,-9.569,-3.922
0,-9.882,-3.137
0.157,-9.098,-3.765
0,-9.255,-3.922
0.471,-9.569,-3.294
0.941,-9.725,-3.608
-0.157,-8.941,-4.863
0.627,-9.412,-3.922
1.098,-9.569,-4.078
0.784,-9.412,-4.078
0,-9.412,-4.235
0.627,-9.569,-3.137
-0.157,-8.627,-3.765
-1.098,-8.471,-3.451
-1.098,-9.098,-2.98
-0.314,-9.098,-2.98
-1.412,-8.627,-3.608
-1.255,-8.941,-3.137
-0.314,-8.784,-3.765
-0.627,-8.784,-4.078
-1.412,-9.412,-2.51
-0.471,-9.882,-2.51
-0.941,-9.725,-2.824
-1.255,-10.51,-2.667
-0.471,-10.98,-2.824
-0.941,-10.824,-4.392
-1.412,-10.98,-3.922
-0.941,-11.765,-3.137
-0.627,-11.451,-3.608
-0.784,-11.765,-3.294
-0.941,-12.392,-3.451
-0.157,-13.49,-4.078
-0.941,-14.275,-4.078
-1.569,-15.059,-3.294
-0.784,-16.627,-3.294
-1.725,-17.412,-2.98
1.255,-19.294,-1.882
0.314,-18.51,-2.98
2.353,-20.392,1.725
3.608,-20.863,0.784
3.451,-21.176,2.196
1.569,-21.176,0.941
-1.098,-20.863,1.569
0,-19.137,-5.49
4.392,-19.451,-7.216
8,-21.02,-2.98
5.02,-20.235,-1.412
0,-17.412,-3.922
-2.353,-16,-8.784
-5.176,-15.529,-7.843
-4.863,-11.922,-9.725
-2.196,-7.843,-11.294
5.02,-7.843,-5.804
5.333,-9.725,-2.667
9.255,-10.039,0.941
10.196,-8.784,1.569
7.373,-5.333,2.196
3.137,-4.392,2.353
2.196,-3.922,2.196
2.353,-3.608,2.353
2.196,-3.922,2.51
1.725,-5.02,3.137
1.569,-5.333,3.294
1.569,-5.804,3.765
1.255,-6.275,3.451
1.412,-6.275,3.137
1.098,-6.902,2.51
0.941,-6.902,1.882
1.098,-7.216,0.784
1.255,-7.216,0.157
0.941,-8.941,-1.098
0.471,-9.725,-1.569
-0.157,-10.51,-3.137
-0.314,-11.137,-4.078
-0.314,-11.451,-4.235
-0.627,-12.863,-5.333
-0.941,-13.804,-6.275
-1.412,-15.216,-8.157
-2.196,-16.157,-8.941
-4.706,-18.039,-11.294
-8,-19.451,-14.745
-10.98,-19.922,-17.255
-17.255,-21.02,-20.549
-19.294,-20.549,-21.804
-20.078,-19.608,-22.902
-20.078,-18.039,-21.961
-18.98,-15.216,-21.49
-18.353,-13.49,-21.961
-20.235,-7.216,-24.784
-23.843,-1.255,-28.392
-26.196,0.627,-28.078
-28.078,0.471,-23.216
-24.471,-3.922,-20.549
-22.588,-7.216,-15.216
-20.235,-6.745,-13.49
1.098,-17.098,5.176
51.608,-28.706,10.196
58.98,-25.098,4.706
-16,-15.216,-4.235
-34.353,-11.294,-5.176
0,-16.157,1.569
-2.667,-19.608,0.157
-8.471,-3.451,0.471
-3.922,-0.314,-1.882
3.922,-4.863,-13.647
-2.667,-9.412,-12.549
-3.451,-13.176,-8.471
-1.882,-12.863,-7.216
-2.824,-10.039,-5.176
-0.627,-8,-5.647
-0.941,-8.941,-2.98
-0.941,-9.255,-3.451
-2.353,-9.412,-2.353
-0.941,-8.784,-1.725
-0.941,-9.412,-0.784
-1.098,-9.882,-1.098
0.941,-12.078,-1.412
0.941,-11.765,-2.51
1.725,-10.039,-3.294
1.882,-10.196,-2.667
1.882,-8.627,-2.98
0.784,-8.157,-2.353
0.784,-8,-3.294
0.314,-8.314,-3.922
0.941,-9.098,-3.765
1.725,-9.882,-2.98
2.196,-9.725,-3.608
1.569,-9.882,-3.137
0.627,-9.725,-3.294
0,-9.725,-3.137
-0.941,-9.255,-3.765
-1.255,-9.255,-3.922
-0.471,-9.255,-4.078
-1.098,-9.255,-3.765
-0.941,-9.569,-4.863
-0.627,-9.725,-4.549
-1.255,-10.51,-4.235
-2.667,-10.353,-4.235
-2.196,-10.667,-3.608
-1.725,-9.725,-3.608
-2.196,-9.569,-3.765
-1.412,-10.353,-2.353
-0.471,-10.353,-2.667
-1.412,-9.569,-3.294
-1.569,-9.882,-2.98
-0.314,-9.882,-2.196
-0.314,-10.353,-2.039
-0.314,-10.51,-2.667
-0.314,-11.451,-3.137
-0.314,-11.765,-4.078
-1.412,-11.294,-4.549
-1.412,-11.294,-4.078
-1.725,-11.137,-3.608
-1.725,-12.235,-2.824
-1.412,-13.02,-2.667
-1.569,-13.961,-3.137
-2.196,-14.275,-3.294
-2.667,-14.745,-2.196
-2.196,-15.216,-1.725
-1.098,-16.314,0.314
-0.941,-17.098,0.471
0,-20.392,3.137
4.863,-19.765,0.471
3.451,-20.235,0.941
3.294,-20.549,0.627
2.824,-20.706,-1.412
2.824,-20.863,-4.549
5.49,-20.392,-7.686
9.882,-20.863,-8.157
9.255,-20.706,-6.902
3.294,-18.51,-4.235
1.098,-17.255,-9.255
-1.569,-17.412,-8.784
-4.863,-13.804,-9.725
-1.569,-11.294,-9.882
1.255,-8.941,-8.314
1.255,-9.569,-4.863
5.02,-10.353,-1.569
6.118,-7.216,0.157
5.333,-5.176,0.314
2.824,-3.294,0.471
1.725,-2.51,0.471
1.098,-1.569,0.314
1.412,-1.412,0.627
2.039,-1.725,1.255
1.725,-2.353,1.255
1.255,-2.667,1.098
0.941,-2.824,0.784
0.627,-2.824,0.627
0.941,-2.667,0.471
1.569,-2.98,-0.157
1.725,-3.922,-0.471
1.255,-4.078,-0.471
1.412,-5.333,-1.412
1.255,-6.431,-2.353
1.098,-7.216,-2.667
0.784,-8.157,-2.98
0.627,-8.941,-2.98
-0.157,-10.51,-3.765
-0.627,-11.451,-4.078
-2.196,-13.961,-4.392
-2.667,-15.216,-4.863
-5.02,-17.725,-5.647
-9.882,-19.451,-8.471
-12.863,-19.137,-10.667
-15.529,-19.294,-13.49
-16.314,-19.765,-13.647
-19.765,-20.706,-13.176
-20.706,-20.706,-12.706
-22.588,-19.294,-11.608
-22.275,-17.882,-11.608
-20.863,-14.118,-11.294
-18.196,-11.608,-12.706
-18.98,-10.196,-14.431
-23.373,-5.49,-17.412
-25.569,-2.98,-17.255
-26.039,-2.824,-14.588
-26.824,-5.02,-13.804
-25.882,-6.902,-10.196
-10.51,-11.137,-5.333
12.392,-17.882,-0.157
61.49,-26.98,8.157
28.706,-23.216,-5.961
-36.863,-13.176,-5.333
-19.922,-10.51,-5.647
2.824,-17.882,1.412
-4.078,-16.471,-2.196
-2.98,-4.078,-7.059
-1.255,-6.431,-7.373
0,-7.843,-7.686
0.627,-10.353,-5.647
0.627,-10.196,-5.333
-0.157,-9.412,-4.706
-0.314,-9.569,-5.333
0.157,-10.51,-4.235
-2.039,-8.784,-4.549
-1.098,-8.471,-3.765
-0.471,-8.627,-3.765
-0.941,-8.941,-4.235
-1.412,-9.569,-3.137
-0.157,-10.039,-3.451
0.941,-10.353,-2.824
1.569,-10.196,-2.824
2.196,-10.039,-2.667
2.039,-9.725,-2.98
1.569,-9.412,-4.078
0.627,-9.098,-4.078
0.314,-8.314,-4.078
-0.157,-8.471,-4.078
-0.314,-8.784,-3.922
1.569,-8.941,-4.078
1.882,-8.627,-3.451
1.255,-9.098,-3.294
1.569,-9.255,-2.824
1.725,-8.941,-3.294
0.314,-9.098,-2.667
1.098,-9.098,-2.98
0.627,-8.627,-3.294
0.627,-8.314,-3.765
-0.157,-8.471,-3.765
0.157,-9.098,-4.392
0,-8.784,-4.235
-0.627,-9.255,-3.922
-0.471,-9.412,-3.608
-1.725,-10.039,-3.137
-2.667,-9.882,-3.451
-1.725,-9.882,-3.137
-1.725,-9.725,-3.294
-2.196,-10.039,-3.137
-0.941,-10.353,-2.51
-0.627,-10.039,-3.137
-0.784,-9.725,-3.137
-0.314,-9.725,-2.039
0,-10.196,-3.137
-0.157,-10.353,-3.451
-0.941,-11.294,-3.765
-0.784,-11.765,-4.549
-1.098,-11.608,-4.235
-1.569,-11.451,-2.98
-0.627,-11.608,-2.353
-0.314,-12.235,-3.294
-0.157,-13.176,-3.451
-0.627,-14.275,-4.078
-0.314,-14.745,-4.392
-0.314,-16,-3.765
-0.471,-17.882,-4.392
1.098,-19.608,-2.51
2.039,-18.51,-5.49
1.569,-18.98,-3.922
4.863,-22.275,-1.569
3.294,-22.275,-1.882
2.039,-21.804,-1.569
0,-20.706,-2.98
0.784,-21.02,-2.667
6.118,-20.549,-5.176
7.529,-20.078,-4.235
8.314,-17.255,-4.863
4.235,-16.157,-3.137
-1.882,-13.961,-7.059
-3.137,-13.02,-9.098
-6.588,-11.608,-10.824
-4.078,-5.647,-7.529
2.667,-6.431,-3.137
8.627,-9.255,-0.157
11.137,-8.627,0.627
13.804,-6.275,3.608
12.235,-5.02,4.392
6.118,-3.922,3.137
4.235,-3.451,2.824
2.51,-3.137,2.039
1.725,-3.765,1.412
1.725,-4.392,1.255
2.196,-4.706,1.255
2.51,-5.02,1.255
2.353,-5.333,1.412
1.725,-5.49,1.098
1.255,-6.275,0.314
1.412,-6.745,-0.471
1.569,-6.902,-0.784
1.098,-7.843,-1.569
0.941,-8.941,-2.353
0,-10.667,-3.608
-0.314,-11.137,-4.392
-0.471,-12.078,-5.49
0,-13.02,-6.275
-0.471,-14.431,-6.902
-1.882,-16.627,-7.686
-3.137,-17.412,-8.471
-7.843,-18.98,-11.137
-10.667,-19.765,-12.706
-16,-20.706,-13.333
-17.725,-20.706,-13.49
-17.098,-21.647,-14.118
-16,-20.863,-15.373
-15.529,-19.765,-15.686
-16.314,-15.686,-16.941
-17.569,-12.706,-18.353
-20.863,-7.216,-21.961
-23.373,-4.863,-23.529
-27.451,0,-22.745
-29.176,0.471,-20.863
-28.863,-4.078,-16.314
-21.804,-7.843,-14.118
-19.137,-10.51,-13.176
-12.078,-9.412,-5.804
5.333,-15.843,0.627
55.373,-26.039,9.569
70.275,-25.569,6.902
-12.078,-18.51,-2.667
-19.451,-11.137,-1.098
-4.863,-15.059,-0.157
-14.275,-16.471,-1.569
-13.647,-6.431,0.314
0.157,-3.765,-2.667
5.02,-6.588,-4.706
0.471,-8.157,-10.667
-5.49,-9.725,-9.255
-3.451,-13.961,-6.275
-1.098,-10.667,-3.608
0.314,-9.569,-4.235
0.627,-9.098,-3.765
0.314,-8.627,-3.765
-3.451,-9.569,-3.608
-4.235,-9.725,-4.392
-0.627,-9.412,-2.353
1.569,-9.412,-1.725
1.098,-9.412,-1.412
2.51,-11.765,-1.569
2.51,-11.294,-2.353
2.196,-10.353,-3.294
1.569,-9.255,-2.98
1.569,-8.471,-3.294
0.627,-8.471,-3.922
-0.784,-7.529,-3.608
0.627,-8.627,-3.765
0.784,-9.255,-2.98
0.784,-9.569,-2.98
1.725,-9.725,-3.294
1.412,-9.098,-3.137
0.314,-8.941,-3.608
0,-9.412,-3.294
-0.314,-9.725,-2.98
-0.627,-9.098,-4.235
-0.941,-9.569,-3.608
-0.627,-9.255,-3.922
-0.784,-8.784,-4.706
-0.941,-8.627,-4.549
0.784,-9.569,-3.765
0.157,-9.725,-3.608
-0.471,-9.725,-4.235
-0.471,-9.255,-4.235
-0.627,-9.255,-4.078
-2.039,-9.098,-3.765
-2.196,-9.569,-3.137
-1.412,-10.196,-2.98
-1.569,-10.039,-3.294
-0.941,-10.824,-1.725
-0.314,-10.824,-1.569
-0.627,-11.137,-2.196
-1.098,-11.922,-1.725
-0.471,-12.235,-2.353
-1.412,-11.765,-3.294
-2.039,-11.922,-3.294
-1.255,-11.922,-3.137
-1.569,-11.608,-2.98
-1.255,-12.863,-3.294
-0.157,-13.961,-3.765
-0.314,-14.431,-4.078
-0.471,-16.314,-3.451
-0.314,-17.569,-2.667
-2.196,-19.608,-2.039
0.157,-21.176,0.314
-0.471,-19.608,-2.196
0.941,-21.647,2.353
4.235,-24,2.98
0.471,-23.686,3.765
-1.569,-23.373,4.706
3.608,-20.392,-6.588
8.157,-20.078,-9.098
11.922,-21.176,-6.118
10.196,-20.392,-4.706
3.294,-16.941,-4.235
2.039,-15.843,-8
-5.176,-14.745,-8.627
-5.647,-10.98,-9.098
-5.176,-7.059,-9.098
2.196,-6.745,-6.745
3.608,-8.784,-3.294
8.784,-8.471,-0.314
10.51,-6.745,-0.157
8.157,-3.608,0.941
